epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,13057.4,1.08498,1.05011,1.35405,0.77073,0.74268,0.77368,0.49039,1.31368,1.06741,1.57767,0.0003466,0.0003466,0.0003466
68,13200.3,1.06658,1.01902,1.34522,0.78427,0.73478,0.77659,0.48966,1.31814,1.06004,1.58631,0.0003367,0.0003367,0.0003367
69,13343.2,1.06401,1.01369,1.33874,0.80019,0.73451,0.78271,0.49323,1.3175,1.0277,1.58152,0.0003268,0.0003268,0.0003268
70,13486,1.05823,1.00545,1.32903,0.77311,0.75984,0.78467,0.50018,1.31324,1.03409,1.57325,0.0003169,0.0003169,0.0003169
71,13629,1.06597,1.01462,1.34349,0.80819,0.74694,0.79324,0.5011,1.30656,1.02321,1.56094,0.000307,0.000307,0.000307
72,13771.9,1.04734,1.00676,1.33863,0.78921,0.74679,0.78401,0.49934,1.30283,1.05189,1.57297,0.0002971,0.0002971,0.0002971
73,13914.8,1.03417,0.98131,1.31413,0.79811,0.74998,0.79451,0.50336,1.2946,1.04228,1.56629,0.0002872,0.0002872,0.0002872
74,14058.1,1.03534,0.96569,1.31717,0.77386,0.7585,0.79207,0.49355,1.31953,1.04397,1.57797,0.0002773,0.0002773,0.0002773
75,14200.5,1.03965,0.96434,1.33075,0.79828,0.74846,0.79097,0.49961,1.298,1.04736,1.56861,0.0002674,0.0002674,0.0002674
76,14342.9,1.03477,0.97153,1.311,0.77792,0.7616,0.79609,0.50404,1.3201,1.02739,1.57906,0.0002575,0.0002575,0.0002575
77,14485.8,1.04152,0.97692,1.31642,0.80561,0.74546,0.78666,0.49785,1.30788,1.04586,1.56433,0.0002476,0.0002476,0.0002476
78,14628.3,1.03052,0.953,1.31314,0.78268,0.75591,0.78879,0.50275,1.30171,1.03396,1.56468,0.0002377,0.0002377,0.0002377
79,14770.7,1.01855,0.95378,1.31177,0.80168,0.75454,0.78889,0.50026,1.29889,1.03486,1.5667,0.0002278,0.0002278,0.0002278
80,14913,1.01234,0.9357,1.30548,0.79633,0.76374,0.79893,0.50513,1.30359,1.02644,1.57054,0.0002179,0.0002179,0.0002179
81,15055.7,1.00047,0.93256,1.29517,0.7942,0.75666,0.78955,0.50163,1.3075,1.03789,1.56969,0.000208,0.000208,0.000208
82,15198.1,1.00432,0.9213,1.30209,0.78972,0.76221,0.79127,0.5022,1.29881,1.02903,1.56535,0.0001981,0.0001981,0.0001981
83,15340.5,1.00311,0.93116,1.30084,0.803,0.75878,0.79197,0.50508,1.30121,1.04132,1.56717,0.0001882,0.0001882,0.0001882
84,15483.1,1.00926,0.91933,1.29523,0.80198,0.75266,0.79129,0.50913,1.29127,1.02074,1.55904,0.0001783,0.0001783,0.0001783
85,15625.4,0.98571,0.91016,1.28833,0.79181,0.76363,0.78813,0.5017,1.31206,1.02114,1.58008,0.0001684,0.0001684,0.0001684
86,15767.8,0.99703,0.92104,1.29909,0.80843,0.76096,0.79437,0.50647,1.29394,1.00891,1.56406,0.0001585,0.0001585,0.0001585
87,15910.1,0.99563,0.92346,1.29533,0.81947,0.76178,0.79844,0.50426,1.29807,1.00382,1.57105,0.0001486,0.0001486,0.0001486
88,16052.4,0.96985,0.89363,1.27692,0.80885,0.75681,0.79398,0.50761,1.29537,1.0318,1.56757,0.0001387,0.0001387,0.0001387
89,16195.1,0.98155,0.89361,1.28852,0.79985,0.76477,0.79398,0.50726,1.29465,1.02307,1.56683,0.0001288,0.0001288,0.0001288
90,16338.2,0.96413,0.87785,1.27023,0.81684,0.7506,0.79517,0.50597,1.30366,1.01858,1.57477,0.0001189,0.0001189,0.0001189
91,16497.8,0.97151,0.76713,1.32838,0.79009,0.76054,0.79201,0.50073,1.30808,1.02343,1.59296,0.000109,0.000109,0.000109
92,16639.6,0.94343,0.72074,1.3106,0.79657,0.77147,0.79848,0.50778,1.30404,1.00484,1.58536,9.91e-05,9.91e-05,9.91e-05
93,16781.7,0.93287,0.70836,1.28834,0.81648,0.75551,0.79335,0.50441,1.30292,0.99563,1.58373,8.92e-05,8.92e-05,8.92e-05
94,16924.1,0.91773,0.68528,1.28499,0.80844,0.76901,0.79894,0.50602,1.30036,0.99351,1.58272,7.93e-05,7.93e-05,7.93e-05
95,17066.4,0.91409,0.68306,1.28081,0.8052,0.77198,0.80148,0.51351,1.29694,0.97639,1.58125,6.94e-05,6.94e-05,6.94e-05
96,17208.7,0.9116,0.68705,1.28011,0.79328,0.77112,0.79887,0.50953,1.30239,0.98415,1.58851,5.95e-05,5.95e-05,5.95e-05
97,17350.8,0.90284,0.66893,1.2757,0.79546,0.77549,0.79526,0.5055,1.30065,0.99033,1.58893,4.96e-05,4.96e-05,4.96e-05
98,17492.9,0.89736,0.66742,1.26929,0.81702,0.7588,0.79955,0.50855,1.2947,0.98539,1.58476,3.97e-05,3.97e-05,3.97e-05
99,17635.1,0.88912,0.65911,1.26286,0.82303,0.75321,0.80049,0.51013,1.29292,0.98593,1.58192,2.98e-05,2.98e-05,2.98e-05
100,17776.9,0.89186,0.65966,1.2684,0.80416,0.76964,0.79902,0.51056,1.29147,0.97751,1.58154,1.99e-05,1.99e-05,1.99e-05
